"N","Артикул","Наименование полное","Символьный код"
"184","10711021","Жилет Бундесвер SAAV M83 (12 подсумков), распродажа","zhilet_bundesver_12_podsumkov_ft_rasprodazha"
"185","10711060","Жилет Бундесвер (12 подсумков)","zhilet_bundesver_12_podsumkov_10711060"
"186","10711070","Жилет Бундесвер SAAV M83 (12 подсумков), распродажа","zhilet_bundesver_12_podsumkov_acu_rasprodazha"
"187","10712001","Жилет тактический (9 подсумков) OD, распродажа","zhilet_takticheskij_9_podsumkov_od_rasprodazha"
"188","10712002","Жилет тактический (9 подсумков) BK, распродажа","zhilet_takticheskij_9_podsumkov_bk_rasprodazha"
"189","10712020","Жилет тактический (9 подсумков) WL, распродажа","zhilet_takticheskij_9_podsumkov_wl_rasprodazha"
"190","10712021","Жилет тактический (9 подсумков) FT, распродажа","zhilet_takticheskij_9_podsumkov_ft_rasprodazha"
"191","10712042","Жилет тактический (9 подсумков), распродажа","zhilet_takticheskij_9_podsumkov_rasprodazha"
"192","10712070","Жилет тактический (9 подсумков), распродажа","zhilet_takticheskij_9_podsumkov_10712070"
"193","10712101","Жилет тактический модульный (8 подсумков), распродажа","zhilet_takticheskij_modulnyj_8_podsumkov_rasprodazha"
"194","10712102","Жилет тактический модульный (8 подсумков), распродажа","zhilet_takticheskij_modulnyj_8_podsumkov_10712102"
"195","10720002","Жилет разгрузочный USMC с ремнем","zhilet_razgruzochnyj_usmc_s_remnem_10720002"
"196","10801001","Свитер Бундесвер оригинальный","sviter_bundesver_originalnyj_s_flazhkami_10801001"
"197","10801003","Свитер Бундесвер оригинальный","sviter_bundesver_originalnyj_s_flazhkami_10801003"
"198","10802001","Свитер военный Commandos (шерстяной)","sviter_commandos_sherstyanoj_10802001_1_"
"199","10802002","Свитер военный Commandos (шерстяной)","sviter_commandos_sherstyanoj_10802002"
"200","10802003","Свитер военный Commandos (шерстяной)","sviter_commandos_sherstyanoj_10802003"
"201","10803001","Свитер Commandos акрил","sviter_commandos_akril_10803001"
"202","10803002","Свитер Commandos акрил","sviter_commandos_akril_10803002"
"203","10803003","Свитер Commandos акрил","sviter_commandos_akril_10803003"
"204","10804020","Свитер камуфляжный WL, распродажа","sviter_kamuflyazhnyj_wl_rasprodazha"
"205","10804060","Свитер камуфляжный, распродажа","sviter_kamuflyazhnyj_rasprodazha"
"206","10810001","Свитер голландский, распродажа","sviter_gollandskij_rasprodazha"
"207","10815001","Свитер TROYER OD, распродажа","sviter_troyer_10815001"
"208","10815002","Свитер TROYER BK, распродажа","sviter_troyer_bk_rasprodazha"
"209","10815003","Свитер TROYER, распродажа","sviter_troyer_rasprodazha"
"210","10820001","Свитер с ""молнией""","sviter_s_molniej_10820001"
"211","10820002","Свитер с ""молнией""","sviter_s_molniej_10820002"
"212","10820003","Свитер с ""молнией""","sviter_s_molniej_10820003"
"213","10856001","Куртка флисовая французская F2","kurtka_flisovaya_francuzskaya_f2_10856001"
"214","10856002","Куртка флисовая французская F2","kurtka_flisovaya_francuzskaya_f2_10856002"
"215","10856020","Куртка флисовая французская F2 WL, распродажа","kurtka_flisovaya_francuzskaya_f2_wl_rasprodazha"
"216","10856021","Куртка флисовая французская F2 FT, распродажа","kurtka_flisovaya_francuzskaya_f2_ft_rasprodazha"
"217","10856024","Куртка флисовая французская F2 CCE, распродажа","kurtka_flisovaya_francuzskaya_f2_cce_rasprodazha"
"218","10856025","Куртка флисовая французская F2 DT, распродажа","kurtka_flisovaya_francuzskaya_f2_dt_rasprodazha"
"219","10856044","Куртка флисовая французская F2 AF, распродажа","kurtka_flisovaya_francuzskaya_f2_af_rasprodazha"
"220","10856060","Куртка флисовая французская F2, распродажа","kurtka_flisovaya_francuzskaya_f2_rasprodazha"
"221","10856070","Куртка флисовая французская F2, распродажа","kurtka_flisovaya_francuzskaya_f2_rasprodazha_10856070"
"222","10856101","Куртка тактическая ""Windproof""","kurtka_takticheskaya_windproof_10856101"
"223","10856102","Куртка тактическая ""Windproof""","kurtka_takticheskaya_windproof_10856102"
"224","10856105","Куртка тактическая ""Windproof""","kurtka_takticheskaya_windproof_10856105"
"225","10859002","Куртка демисезонная ""Softshell Plus""","kurtka_demisezonnaya_softshell_plus_10859002"
"226","10860002","Куртка демисезонная неопреновая ""Neopren Jacket""","kurtka_demisezonnaya_neopren_jacke_bk_rasprodazha"
"227","10860020","Куртка демисезонная неопреновая ""Neopren Jacke"", распродажа","kurtka_demisezonnaya_neoprenovaya_neopren__jacke"
"228","10902002","Реглан трикотажный оригинальный Бундесвер, распродажа","reglan_trikotazhnyj_originalnyj_bundesver_rasprodazha"
"229","10903001","Реглан трикотажный оригинальный Бундесвер с начёсом, распродажа","reglan_trikotazhnyj_originalnyj_bundesver_s_nachyosom_rasprodazha"
"230","10933004","Рубашка тропическая ""TROPENHEMD"", распродажа","rubashka_tropicheskaya_tropenhemd_rasprodazha"
"231","10934004","Тениска тропическая с коротким рукавом","teniska_tropicheskaya_s_korotkim_rukavom_10934004"
"232","10937020","Тениска HAWAII WL, распродажа","teniska_hawaii_wl_rasprodazha"
"233","10937022","Тениска ""HAWAII"", распродажа","teniska_hawaii_rasprodazha_10937022"
"234","10937023","Тениска ""HAWAII"", распродажа","teniska_hawaii_rasprodazha_10937023"
"235","10937060","Тениска ""HAWAII"", распродажа","teniska_hawaii_rasprodazha_10937060"
"236","10937081","Тениска ""HAWAII"", распродажа","teniska_hawaii_rasprodazha_10937081"
"237","11001001","Майка военная однотонная","majka_11001001"
"238","11001002","Майка военная однотонная","majka_11001002"
"239","11001020","Майка военная камуфляжная","majka_11001020"
"240","11001021","Майка военная камуфляжная","majka_11001021"
"241","11001022","Майка военная камуфляжная","majka_11001022"
